"","","","VAgree","HarmonizeBack","HarmonizeFront"
"","parische-RAISE-B","5","","","1"
"parsche","parsche-RAISE-F","0","1","",""
"","parsche-RAISE-B","10","","","1"
"parta","parta-RAISE-F","0","1","1",""
"","parta-RAISE-B","78","","",""
"partiye","partiye-RAISE-F","487","1","",""
"","partiye-RAISE-B","0","","","1"
"partla","partla-RAISE-F","0","1","1",""
"","partla-RAISE-B","4","","",""
"partlat","partlat-RAISE-F","0","1","1",""
"","partlat-RAISE-B","22","","",""
"pasahet","pasahet-RAISE-F","2","1","",""
"","pasahet-RAISE-B","0","","","1"
"pasha","pasha-RAISE-F","0","1","1",""
"","pasha-RAISE-B","5","","",""
"passiplash","passiplash-RAISE-F","0","1","1",""
"","passiplash-RAISE-B","1","","",""
"paxal","paxal-RAISE-F","0","1","1",""
"","paxal-RAISE-B","1","","",""
"paxta","paxta-RAISE-F","0","1","1",""
"","paxta-RAISE-B","77","","",""
"payda","payda-RAISE-F","2.00000000000001","1","1",""
"","payda-RAISE-B","2262","","",""
"paydilan","paydilan-RAISE-F","0","1","1",""
"","paydilan-RAISE-B","144","","",""
"payla","payla-RAISE-F","0","1","1",""
"","payla-RAISE-B","9","","",""
"paytima","paytima-RAISE-F","0","1","1",""
"","paytima-RAISE-B","1","","",""
"pede","pede-RAISE-F","31","","",""
"","pede-RAISE-B","0","1","","1"
"pelempey","pelempey-RAISE-F","5","","",""
"","pelempey-RAISE-B","0","1","","1"
"pelle","pelle-RAISE-F","1009","","",""
"","pelle-RAISE-B","0","1","","1"
"pelsepe","pelsepe-RAISE-F","83","","",""
"","pelsepe-RAISE-B","0","1","","1"
"pemle","pemle-RAISE-F","1","","",""
"","pemle-RAISE-B","0","1","","1"
"penje","penje-RAISE-F","5","","",""
"","penje-RAISE-B","0","1","","1"
"penjire","penjire-RAISE-F","8","","",""
"","penjire-RAISE-B","0","1","","1"
"pepile","pepile-RAISE-F","5","","",""
"","pepile-RAISE-B","0","1","","1"
"perde","perde-RAISE-F","65","","",""
"","perde-RAISE-B","0","1","","1"
"perez","perez-RAISE-F","11","","",""
"","perez-RAISE-B","0","1","","1"
"perghane","perghane-RAISE-F","5","1","",""
"","perghane-RAISE-B","9","","","1"
"perishte","perishte-RAISE-F","91","","",""
"","perishte-RAISE-B","0","1","","1"
"perwane","perwane-RAISE-F","6","1","",""
"","perwane-RAISE-B","3","","","1"
"pesende","pesende-RAISE-F","7","","",""
"","pesende-RAISE-B","0","1","","1"
"pesey","pesey-RAISE-F","8","","",""
"","pesey-RAISE-B","0","1","","1"
"péshane","péshane-RAISE-F","24","1","",""
"","péshane-RAISE-B","1","","","1"
"pesle","pesle-RAISE-F","3","","",""
"","pesle-RAISE-B","0","1","","1"
"peslesh","peslesh-RAISE-F","1","","",""
"","peslesh-RAISE-B","0","1","","1"
"pete","pete-RAISE-F","17","","",""
"","pete-RAISE-B","0","1","","1"
"peter","peter-RAISE-F","7","","",""
"","peter-RAISE-B","0","1","","1"
"petile","petile-RAISE-F","1","","",""
"","petile-RAISE-B","0","1","","1"
"pewqul'adde","pewqul'adde-RAISE-F","1","1","",""
"","pewqul'adde-RAISE-B","0","","","1"
"pexirlen","pexirlen-RAISE-F","38","","",""
"","pexirlen-RAISE-B","0","1","","1"
"peyghember","peyghember-RAISE-F","44","","",""
"","peyghember-RAISE-B","0","1","","1"
"peyshenbe","peyshenbe-RAISE-F","4","","",""
"","peyshenbe-RAISE-B","0","1","","1"
"pezilet","pezilet-RAISE-F","21","","",""
"","pezilet-RAISE-B","0","1","","1"
"pilanla","pilanla-RAISE-F","0","1","1",""
"","pilanla-RAISE-B","50","","",""
"piramida","piramida-RAISE-F","0","1","1",""
"","piramida-RAISE-B","6","","",""
"pirogramma","pirogramma-RAISE-F","0","1","1",""
"","pirogramma-RAISE-B","30","","",""
"piroza","piroza-RAISE-F","0","1","1",""
"","piroza-RAISE-B","2","","",""
"piyade","piyade-RAISE-F","76","1","",""
"","piyade-RAISE-B","0","","","1"
"piyale","piyale-RAISE-F","22","1","",""
"","piyale-RAISE-B","5","","","1"
"planéta","planéta-RAISE-F","0","1","1",""
"","planéta-RAISE-B","8","","",""
"platina","platina-RAISE-F","0","1","1",""
"","platina-RAISE-B","2","","",""
"pochta","pochta-RAISE-F","0","1","1",""
"","pochta-RAISE-B","100","","",""
"pochtixana","pochtixana-RAISE-F","0","1","1",""
"","pochtixana-RAISE-B","12","","",""
"pola","pola-RAISE-F","0","1","1",""
"","pola-RAISE-B","1","","",""
"popoza","popoza-RAISE-F","0","1","1",""
"","popoza-RAISE-B","1","","",""
"posma","posma-RAISE-F","0","1","1",""
"","posma-RAISE-B","3","","",""
"pota","pota-RAISE-F","0","1","1",""
"","pota-RAISE-B","12","","",""
"potey","potey-RAISE-F","1","1","",""
"","potey-RAISE-B","0","","","1"
"potla","potla-RAISE-F","0","1","1",""
"","potla-RAISE-B","1","","",""
"programma","programma-RAISE-F","0","1","1",""
"","programma-RAISE-B","2170","","",""
"proza","proza-RAISE-F","0","1","1",""
"","proza-RAISE-B","16","","",""
"puchila","puchila-RAISE-F","0","1","1",""
"","puchila-RAISE-B","3","","",""
"pura","pura-RAISE-F","0","1","1",""
"","pura-RAISE-B","9","","",""
"pürme","pürme-RAISE-F","1","","",""
"","pürme-RAISE-B","0","1","","1"
"purset","purset-RAISE-F","790","1","",""
"","purset-RAISE-B","7","","","1"
"purzhina","purzhina-RAISE-F","0","1","1",""
"","purzhina-RAISE-B","3","","",""
"putlash","putlash-RAISE-F","0","1","1",""
"","putlash-RAISE-B","3","","",""
"pütünle","pütünle-RAISE-F","1","","",""
"","pütünle-RAISE-B","0","1","","1"
"pütünlesh","pütünlesh-RAISE-F","5","","",""
"","pütünlesh-RAISE-B","0","1","","1"
"püwle","püwle-RAISE-F","8","","",""
"","püwle-RAISE-B","0","1","","1"
"puxta","puxta-RAISE-F","0","1","1",""
"","puxta-RAISE-B","4","","",""
"puxtila","puxtila-RAISE-F","0","1","1",""
"","puxtila-RAISE-B","2","","",""
"qa'ide","qa'ide-RAISE-F","402","1","",""
"","qa'ide-RAISE-B","0","","","1"
"qabiliyet","qabiliyet-RAISE-F","143","1","",""
"","qabiliyet-RAISE-B","0","","","1"
"qabilyet","qabilyet-RAISE-F","5","1","",""
"","qabilyet-RAISE-B","0","","","1"
"qacha","qacha-RAISE-F","0","1","1",""
"","qacha-RAISE-B","110","","",""
"qachila","qachila-RAISE-F","0","1","1",""
"","qachila-RAISE-B","14","","",""
"qalaymiqanlash","qalaymiqanlash-RAISE-F","0","1","1",""
"","qalaymiqanlash-RAISE-B","2","","",""
"qama","qama-RAISE-F","0","1","1",""
"","qama-RAISE-B","6","","",""
"qamal","qamal-RAISE-F","0","1","1",""
"","qamal-RAISE-B","72","","",""
"qamalla","qamalla-RAISE-F","0","1","1",""
"","qamalla-RAISE-B","2","","",""
"qamaqxana","qamaqxana-RAISE-F","0","1","1",""
"","qamaqxana-RAISE-B","331","","",""
"qamcha","qamcha-RAISE-F","1","1","1",""
"","qamcha-RAISE-B","11","","",""
"qamchila","qamchila-RAISE-F","0","1","1",""
"","qamchila-RAISE-B","3","","",""
"qamda","qamda-RAISE-F","0","1","1",""
"","qamda-RAISE-B","10","","",""
"qamet","qamet-RAISE-F","13","1","",""
"","qamet-RAISE-B","0","","","1"
"qamlash","qamlash-RAISE-F","0","1","1",""
"","qamlash-RAISE-B","1","","",""
"qana","qana-RAISE-F","0","1","1",""
"","qana-RAISE-B","2","","",""
"qana'et","qana'et-RAISE-F","2","1","",""
"","qana'et-RAISE-B","0","","","1"
"qana'etlen","qana'etlen-RAISE-F","2","","",""
"","qana'etlen-RAISE-B","0","1","","1"
"qanal","qanal-RAISE-F","0","1","1",""
"","qanal-RAISE-B","261","","",""
"qanat","qanat-RAISE-F","0","1","1",""
"","qanat-RAISE-B","55","","",""
"qanatlan","qanatlan-RAISE-F","0","1","1",""
"","qanatlan-RAISE-B","2","","",""
"qanche","qanche-RAISE-F","2872","1","",""
"","qanche-RAISE-B","48","","","1"
"qanuniyet","qanuniyet-RAISE-F","48","1","",""
"","qanuniyet-RAISE-B","0","","","1"
"qapartma","qapartma-RAISE-F","0","1","1",""
"","qapartma-RAISE-B","6","","",""
"qapla","qapla-RAISE-F","0","1","1",""
"","qapla-RAISE-B","21","","",""
"qara","qara-RAISE-F","0","1","1",""
"","qara-RAISE-B","2602","","",""
"qaram","qaram-RAISE-F","0","1","1",""
"","qaram-RAISE-B","2","","",""
"qarangghulash","qarangghulash-RAISE-F","0","1","1",""
"","qarangghulash-RAISE-B","1","","",""
"qarash","qarash-RAISE-F","1.00000000000001","1","1",""
"","qarash-RAISE-B","449","","",""
"qarat","qarat-RAISE-F","0","1","1",""
"","qarat-RAISE-B","36","","",""
"qarawulxana","qarawulxana-RAISE-F","0","1","1",""
"","qarawulxana-RAISE-B","42","","",""
"qaray","qaray-RAISE-F","0","1","1",""
"","qaray-RAISE-B","24","","",""
"qarila","qarila-RAISE-F","0","1","1",""
"","qarila-RAISE-B","16","","",""
"qarshilash","qarshilash-RAISE-F","0","1","1",""
"","qarshilash-RAISE-B","14","","",""
"qasha","qasha-RAISE-F","0","1","1",""
"","qasha-RAISE-B","3","","",""
"qassapxana","qassapxana-RAISE-F","0","1","1",""
"","qassapxana-RAISE-B","1","","",""
"qatlam","qatlam-RAISE-F","0","1","1",""
"","qatlam-RAISE-B","1","","",""
"qatlima","qatlima-RAISE-F","0","1","1",""
"","qatlima-RAISE-B","2","","",""
"qatnash","qatnash-RAISE-F","0","1","1",""
"","qatnash-RAISE-B","121","","",""
"qawaqxana","qawaqxana-RAISE-F","0","1","1",""
"","qawaqxana-RAISE-B","9","","",""
"qaycha","qaycha-RAISE-F","0","1","1",""
"","qaycha-RAISE-B","4","","",""
"qayna","qayna-RAISE-F","0","1","1",""
"","qayna-RAISE-B","5","","",""
"qaynam","qaynam-RAISE-F","0","1","1",""
"","qaynam-RAISE-B","225","","",""
"qaynash","qaynash-RAISE-F","0","1","1",""
"","qaynash-RAISE-B","1","","",""
"qaynat","qaynat-RAISE-F","0","1","1",""
"","qaynat-RAISE-B","5","","",""
"qayra","qayra-RAISE-F","0","1","1",""
"","qayra-RAISE-B","5","","",""
"qaytila","qaytila-RAISE-F","0","1","1",""
"","qaytila-RAISE-B","15","","",""
"qaza","qaza-RAISE-F","0","1","1",""
"","qaza-RAISE-B","237","","",""
"qazala","qazala-RAISE-F","0","1","1",""
"","qazala-RAISE-B","2","","",""
"qebihlesh","qebihlesh-RAISE-F","1","","",""
"","qebihlesh-RAISE-B","0","1","","1"
"qebile","qebile-RAISE-F","422","","",""
"","qebile-RAISE-B","0","1","","1"
"qebre","qebre-RAISE-F","312","","",""
"","qebre-RAISE-B","0","1","","1"
"qedirle","qedirle-RAISE-F","62","","",""
"","qedirle-RAISE-B","0","1","","1"
"qehwexana","qehwexana-RAISE-F","0","1","1",""
"","qehwexana-RAISE-B","19","","",""
"qelem","qelem-RAISE-F","352","","",""
"","qelem-RAISE-B","0","1","","1"
"qemer","qemer-RAISE-F","1","","",""
"","qemer-RAISE-B","0","1","","1"
"qepes","qepes-RAISE-F","4","","",""
"","qepes-RAISE-B","0","1","","1"
"qepez","qepez-RAISE-F","2","","",""
"","qepez-RAISE-B","0","1","","1"
"qerne","qerne-RAISE-F","1","","",""
"","qerne-RAISE-B","0","1","","1"
"qesem","qesem-RAISE-F","9","","",""
"","qesem-RAISE-B","0","1","","1"
"qeside","qeside-RAISE-F","17","","",""
"","qeside-RAISE-B","0","1","","1"
"qetre","qetre-RAISE-F","11","","",""
"","qetre-RAISE-B","0","1","","1"
"qewet","qewet-RAISE-F","61","","",""
"","qewet-RAISE-B","0","1","","1"
"qeyer","qeyer-RAISE-F","55","","",""
"","qeyer-RAISE-B","0","1","","1"
"qimarxana","qimarxana-RAISE-F","0","1","1",""
"","qimarxana-RAISE-B","19","","",""
"qimmetle","qimmetle-RAISE-F","7","","",""
"","qimmetle-RAISE-B","0","1","","1"
"qira'etxana","qira'etxana-RAISE-F","0","1","1",""
"","qira'etxana-RAISE-B","4","","",""
"qiyamet","qiyamet-RAISE-F","1","1","",""
"","qiyamet-RAISE-B","0","","","1"
"qiyapet","qiyapet-RAISE-F","192","1","",""
"","qiyapet-RAISE-B","2","","","1"
"qiyasla","qiyasla-RAISE-F","0","1","1",""
"","qiyasla-RAISE-B","2","","",""
"qobulxana","qobulxana-RAISE-F","0","1","1",""
"","qobulxana-RAISE-B","3","","",""
"qolaylash","qolaylash-RAISE-F","0","1","1",""
"","qolaylash-RAISE-B","1","","",""
"qoldash","qoldash-RAISE-F","0","1","1",""
"","qoldash-RAISE-B","2","","",""
"qolla","qolla-RAISE-F","0","1","1",""
"","qolla-RAISE-B","305","","",""
"qomanda","qomanda-RAISE-F","0","1","1",""
"","qomanda-RAISE-B","3","","",""
"qorma","qorma-RAISE-F","0","1","1",""
"","qorma-RAISE-B","2","","",""
"qoshulma","qoshulma-RAISE-F","0","1","1",""
"","qoshulma-RAISE-B","4","","",""
"qoshuma","qoshuma-RAISE-F","0","1","1",""
"","qoshuma-RAISE-B","1","","",""
"qoshumche","qoshumche-RAISE-F","0","1","",""
"","qoshumche-RAISE-B","33","","","1"
"qoyma","qoyma-RAISE-F","0","1","1",""
"","qoyma-RAISE-B","30","","",""
"qoyuwet","qoyuwet-RAISE-F","2","1","",""
"","qoyuwet-RAISE-B","0","","","1"
"qoza","qoza-RAISE-F","0","1","1",""
"","qoza-RAISE-B","13","","",""
"qubbe","qubbe-RAISE-F","3","1","",""
"","qubbe-RAISE-B","1","","","1"
"qucha","qucha-RAISE-F","0","1","1",""
"","qucha-RAISE-B","2","","",""
"quda","quda-RAISE-F","0","1","1",""
"","quda-RAISE-B","48","","",""
"qudret","qudret-RAISE-F","92","1","",""
"","qudret-RAISE-B","0","","","1"
"qudretlen","qudretlen-RAISE-F","1","","",""
"","qudretlen-RAISE-B","0","1","","1"
"qulan","qulan-RAISE-F","0","1","1",""
"","qulan-RAISE-B","1","","",""
"qulule","qulule-RAISE-F","1","1","",""
"","qulule-RAISE-B","0","","","1"
"qulupla","qulupla-RAISE-F","0","1","1",""
"","qulupla-RAISE-B","1","","",""
"qumlash","qumlash-RAISE-F","0","1","1",""
"","qumlash-RAISE-B","2","","",""
"qura","qura-RAISE-F","0","1","1",""
"","qura-RAISE-B","15","","",""
"qurtla","qurtla-RAISE-F","0","1","1",""
"","qurtla-RAISE-B","1","","",""
"qurulma","qurulma-RAISE-F","0","1","1",""
"","qurulma-RAISE-B","295","","",""
"qurultay","qurultay-RAISE-F","0.999999999999994","1","1",""
"","qurultay-RAISE-B","651","","",""
"qushxana","qushxana-RAISE-F","0","1","1",""
"","qushxana-RAISE-B","14","","",""
"quta","quta-RAISE-F","0","1","1",""
"","quta-RAISE-B","14","","",""
"qutla","qutla-RAISE-F","0","1","1",""
"","qutla-RAISE-B","6","","",""
"qutra","qutra-RAISE-F","0","1","1",""
"","qutra-RAISE-B","1","","",""
"quwan","quwan-RAISE-F","0","1","1",""
"","quwan-RAISE-B","1","","",""
"quwwet","quwwet-RAISE-F","18","1","",""
"","quwwet-RAISE-B","0","","","1"
"quwwetle","quwwetle-RAISE-F","34","","",""
"","quwwetle-RAISE-B","0","1","","1"
"rahetlen","rahetlen-RAISE-F","3","","",""
"","rahetlen-RAISE-B","1","1","","1"
"rahibe","rahibe-RAISE-F","0","1","",""
"","rahibe-RAISE-B","1","","","1"
"rapawet","rapawet-RAISE-F","2","1","",""
"","rapawet-RAISE-B","0","","","1"
"rastla","rastla-RAISE-F","0","1","1",""
"","rastla-RAISE-B","1","","",""
"rawajlan","rawajlan-RAISE-F","0","1","1",""
"","rawajlan-RAISE-B","151","","",""
"rawanlash","rawanlash-RAISE-F","0","1","1",""
"","rawanlash-RAISE-B","2","","",""
"ré'allash","ré'allash-RAISE-F","0","1","1",""
"","ré'allash-RAISE-B","3","","",""
"rehber","rehber-RAISE-F","321","","",""
"","rehber-RAISE-B","0","1","","1"
"rémontxana","rémontxana-RAISE-F","0","1","1",""
"","rémontxana-RAISE-B","4","","",""
"resetxana","resetxana-RAISE-F","0","1","1",""
"","resetxana-RAISE-B","9","","",""
"resimxana","resimxana-RAISE-F","0","1","1",""
"","resimxana-RAISE-B","1","","",""
"resmiyet","resmiyet-RAISE-F","9","","",""
"","resmiyet-RAISE-B","0","1","","1"
"reste","reste-RAISE-F","32","","",""
"","reste-RAISE-B","0","1","","1"
"retle","retle-RAISE-F","6","","",""
"","retle-RAISE-B","0","1","","1"
"riqabet","riqabet-RAISE-F","65","1","",""
"","riqabet-RAISE-B","0","","","1"
"riqabetlesh","riqabetlesh-RAISE-F","26","","",""
"","riqabetlesh-RAISE-B","1","1","","1"
"risale","risale-RAISE-F","37","1","",""
"","risale-RAISE-B","2","","","1"
"riwayet","riwayet-RAISE-F","8","1","",""
"","riwayet-RAISE-B","0","","","1"
"riyaset","riyaset-RAISE-F","2","1","",""
"","riyaset-RAISE-B","0","","","1"
"rohaniyet","rohaniyet-RAISE-F","2","1","",""
"","rohaniyet-RAISE-B","0","","","1"
"rohiyet","rohiyet-RAISE-F","38","1","",""
"","rohiyet-RAISE-B","0","","","1"
"rohlan","rohlan-RAISE-F","0","1","1",""
"","rohlan-RAISE-B","3","","",""
"rominiye","rominiye-RAISE-F","1","1","",""
"","rominiye-RAISE-B","0","","","1"
"roshenlesh","roshenlesh-RAISE-F","6","","",""
"","roshenlesh-RAISE-B","0","1","","1"
"rosiye","rosiye-RAISE-F","14","1","",""
"","rosiye-RAISE-B","0","","","1"
"rota","rota-RAISE-F","0","1","1",""
"","rota-RAISE-B","21","","",""
"roza","roza-RAISE-F","0","1","1",""
"","roza-RAISE-B","12","","",""
"ruda","ruda-RAISE-F","0","1","1",""
"","ruda-RAISE-B","9","","",""
"rusche","rusche-RAISE-F","0.999999999999999","1","",""
"","rusche-RAISE-B","37","","","1"
"rusiye","rusiye-RAISE-F","161","1","",""
"","rusiye-RAISE-B","0","","","1"
"rusla","rusla-RAISE-F","0","1","1",""
"","rusla-RAISE-B","2","","",""
"ruxset","ruxset-RAISE-F","23","1","",""
"","ruxset-RAISE-B","1","","","1"
"sa'adet","sa'adet-RAISE-F","4","1","",""
"","sa'adet-RAISE-B","0","","","1"
"sa'et","sa'et-RAISE-F","34","1","",""
"","sa'et-RAISE-B","0","","","1"
"sadda","sadda-RAISE-F","1","1","1",""
"","sadda-RAISE-B","33","","",""
"sahabe","sahabe-RAISE-F","119","1","",""
"","sahabe-RAISE-B","29","","","1"
"sahibxana","sahibxana-RAISE-F","0","1","1",""
"","sahibxana-RAISE-B","215","","",""
"sala","sala-RAISE-F","0","1","1",""
"","sala-RAISE-B","1","","",""
"salahiyet","salahiyet-RAISE-F","271","1","",""
"","salahiyet-RAISE-B","0","","","1"
"salam","salam-RAISE-F","0","1","1",""
"","salam-RAISE-B","19","","",""
"salamlash","salamlash-RAISE-F","0","1","1",""
"","salamlash-RAISE-B","4","","",""
"salapet","salapet-RAISE-F","8","1","",""
"","salapet-RAISE-B","0","","","1"
"salname","salname-RAISE-F","2","1","",""
"","salname-RAISE-B","0","","","1"
"sama","sama-RAISE-F","0","1","1",""
"","sama-RAISE-B","6","","",""
"samanxana","samanxana-RAISE-F","0","1","1",""
"","samanxana-RAISE-B","2","","",""
"samsa","samsa-RAISE-F","0","1","1",""
"","samsa-RAISE-B","8","","",""
"samsixana","samsixana-RAISE-F","0","1","1",""
"","samsixana-RAISE-B","1","","",""
"sana","sana-RAISE-F","0","1","1",""
"","sana-RAISE-B","28","","",""
"sana'et","sana'et-RAISE-F","48","1","",""
"","sana'et-RAISE-B","0","","","1"
"sana'etlesh","sana'etlesh-RAISE-F","2","","",""
"","sana'etlesh-RAISE-B","0","1","","1"
"sanaet","sanaet-RAISE-F","44","1","",""
"","sanaet-RAISE-B","2","","","1"
"sanja","sanja-RAISE-F","0","1","1",""
"","sanja-RAISE-B","5","","",""
"saqchixana","saqchixana-RAISE-F","0","1","1",""
"","saqchixana-RAISE-B","1035","","",""
"saqlanma","saqlanma-RAISE-F","0","1","1",""
"","saqlanma-RAISE-B","1","","",""
"sara","sara-RAISE-F","0","1","1",""
"","sara-RAISE-B","1","","",""
"sarasime","sarasime-RAISE-F","98","1","",""
"","sarasime-RAISE-B","2","","","1"
"saray","saray-RAISE-F","0","1","1",""
"","saray-RAISE-B","606","","",""
"satira","satira-RAISE-F","0","1","1",""
"","satira-RAISE-B","12","","",""
"satirashxana","satirashxana-RAISE-F","0","1","1",""
"","satirashxana-RAISE-B","7","","",""
"sawa","sawa-RAISE-F","0","1","1",""
"","sawa-RAISE-B","1","","",""
"saxawet","saxawet-RAISE-F","5","1","",""
"","saxawet-RAISE-B","0","","","1"
"saxta","saxta-RAISE-F","0","1","1",""
"","saxta-RAISE-B","69","","",""
"sayahet","sayahet-RAISE-F","35","1","",""
"","sayahet-RAISE-B","0","","","1"
"sayahetname","sayahetname-RAISE-F","4","1","",""
"","sayahetname-RAISE-B","0","","","1"
"sayla","sayla-RAISE-F","0","1","1",""
"","sayla-RAISE-B","72","","",""
"saylam","saylam-RAISE-F","0","1","1",""
"","saylam-RAISE-B","399","","",""
"sayra","sayra-RAISE-F","0","1","1",""
"","sayra-RAISE-B","22","","",""
"sayrat","sayrat-RAISE-F","0","1","1",""
"","sayrat-RAISE-B","1","","",""
"saza","saza-RAISE-F","0","1","1",""
"","saza-RAISE-B","2","","",""
"sazende","sazende-RAISE-F","128","","",""
"","sazende-RAISE-B","0","1","","1"
"sazla","sazla-RAISE-F","0","1","1",""
"","sazla-RAISE-B","2","","",""
"seher","seher-RAISE-F","2","","",""
"","seher-RAISE-B","0","1","","1"
"sehipe","sehipe-RAISE-F","487","","",""
"","sehipe-RAISE-B","0","1","","1"
"sehne","sehne-RAISE-F","1815","","",""
"","sehne-RAISE-B","0","1","","1"
"sejde","sejde-RAISE-F","16","","",""
"","sejde-RAISE-B","0","1","","1"
"sele","sele-RAISE-F","32","","",""
"","sele-RAISE-B","1","1","","1"
"sélishturma","sélishturma-RAISE-F","0","1","1",""
"","sélishturma-RAISE-B","37","","",""
"seltenet","seltenet-RAISE-F","8","","",""
"","seltenet-RAISE-B","0","1","","1"
"semere","semere-RAISE-F","28","","",""
"","semere-RAISE-B","0","1","","1"
"semimiyet","semimiyet-RAISE-F","14","","",""
"","semimiyet-RAISE-B","0","1","","1"
"semre","semre-RAISE-F","4","","",""
"","semre-RAISE-B","0","1","","1"
"sen'et","sen'et-RAISE-F","357","","",""
"","sen'et-RAISE-B","1","1","","1"
"senem","senem-RAISE-F","16","","",""
"","senem-RAISE-B","0","1","","1"
"senle","senle-RAISE-F","2","","",""
"","senle-RAISE-B","0","1","","1"
"seper","seper-RAISE-F","645","","",""
"","seper-RAISE-B","0","1","","1"
"seple","seple-RAISE-F","16","","",""
"","seple-RAISE-B","0","1","","1"
"sepsete","sepsete-RAISE-F","57","","",""
"","sepsete-RAISE-B","0","1","","1"
"serap","serap-RAISE-F","1","","1",""
"","serap-RAISE-B","0","1","",""
"serkerde","serkerde-RAISE-F","32","","",""
"","serkerde-RAISE-B","0","1","","1"
"serlewhe","serlewhe-RAISE-F","801","","",""
"","serlewhe-RAISE-B","1","1","","1"
"sermaye","sermaye-RAISE-F","6","1","",""
"","sermaye-RAISE-B","0","","","1"
"setle","setle-RAISE-F","3","","",""
"","setle-RAISE-B","0","1","","1"
"setlesh","setlesh-RAISE-F","1","","",""
"","setlesh-RAISE-B","0","1","","1"
"sewiye","sewiye-RAISE-F","458","","",""
"","sewiye-RAISE-B","0","1","","1"
"sewze","sewze-RAISE-F","4","","",""
"","sewze-RAISE-B","0","1","","1"
"seyle","seyle-RAISE-F","70","","",""
"","seyle-RAISE-B","0","1","","1"
"seyshenbe","seyshenbe-RAISE-F","1","","",""
"","seyshenbe-RAISE-B","0","1","","1"
"sha'irane","sha'irane-RAISE-F","0","1","",""
"","sha'irane-RAISE-B","2","","","1"
"shada","shada-RAISE-F","0","1","1",""
"","shada-RAISE-B","4","","",""
"shadlan","shadlan-RAISE-F","0","1","1",""
"","shadlan-RAISE-B","4","","",""
"shala","shala-RAISE-F","0","1","1",""
"","shala-RAISE-B","6","","",""
"shalla","shalla-RAISE-F","0","1","1",""
"","shalla-RAISE-B","1","","",""
"shamal","shamal-RAISE-F","0","1","1",""
"","shamal-RAISE-B","46","","",""
"shamalda","shamalda-RAISE-F","0","1","1",""
"","shamalda-RAISE-B","1","","",""
"shapa'et","shapa'et-RAISE-F","5","1","",""
"","shapa'et-RAISE-B","0","","","1"
"shapashla","shapashla-RAISE-F","0","1","1",""
"","shapashla-RAISE-B","1","","",""
"sharapet","sharapet-RAISE-F","6","1","",""
"","sharapet-RAISE-B","0","","","1"
"sharche","sharche-RAISE-F","0","1","",""
"","sharche-RAISE-B","2","","","1"
"sharpa","sharpa-RAISE-F","0","1","1",""
"","sharpa-RAISE-B","6","","",""
"sharqiratma","sharqiratma-RAISE-F","0","1","1",""
"","sharqiratma-RAISE-B","3","","",""
"shaxche","shaxche-RAISE-F","0","1","",""
"","shaxche-RAISE-B","1","","","1"
"sheher","sheher-RAISE-F","5219","","",""
"","sheher-RAISE-B","0","1","","1"
"shehwet","shehwet-RAISE-F","1","","",""
"","shehwet-RAISE-B","0","1","","1"
"shehzade","shehzade-RAISE-F","1","1","",""
"","shehzade-RAISE-B","0","","","1"
"shejere","shejere-RAISE-F","13","","",""
"","shejere-RAISE-B","0","1","","1"
"shenbe","shenbe-RAISE-F","9","","",""
"","shenbe-RAISE-B","0","1","","1"
"shepe","shepe-RAISE-F","5","","",""
"","shepe-RAISE-B","0","1","","1"
"sherbet","sherbet-RAISE-F","2","","",""
"","sherbet-RAISE-B","0","1","","1"
"sherep","sherep-RAISE-F","2","","",""
"","sherep-RAISE-B","0","1","","1"
"sherhle","sherhle-RAISE-F","17","","",""
"","sherhle-RAISE-B","0","1","","1"
"sheri'et","sheri'et-RAISE-F","14","","",""
"","sheri'et-RAISE-B","0","1","","1"
"shermende","shermende-RAISE-F","29","","",""
"","shermende-RAISE-B","0","1","","1"
"shertname","shertname-RAISE-F","91","1","",""
"","shertname-RAISE-B","9","","","1"
"shexsiyet","shexsiyet-RAISE-F","45","","",""
"","shexsiyet-RAISE-B","0","1","","1"
"shija'et","shija'et-RAISE-F","10","1","",""
"","shija'et-RAISE-B","0","","","1"
"shikayet","shikayet-RAISE-F","18","1","",""
"","shikayet-RAISE-B","0","","","1"
"shikayetname","shikayetname-RAISE-F","9","1","",""
"","shikayetname-RAISE-B","2","","","1"
"shilepe","shilepe-RAISE-F","2","","",""
"","shilepe-RAISE-B","0","1","","1"
"shipaxana","shipaxana-RAISE-F","0","1","1",""
"","shipaxana-RAISE-B","38","","",""
"shiraza","shiraza-RAISE-F","0","1","1",""
"","shiraza-RAISE-B","1","","",""
"shiwétsariye","shiwétsariye-RAISE-F","1","1","",""
"","shiwétsariye-RAISE-B","0","","","1"
"shixenze","shixenze-RAISE-F","17","","",""
"","shixenze-RAISE-B","0","1","","1"
"shöbe","shöbe-RAISE-F","49","","",""
"","shöbe-RAISE-B","0","1","","1"
"shöhret","shöhret-RAISE-F","8","","",""
"","shöhret-RAISE-B","0","1","","1"
"shola","shola-RAISE-F","0","1","1",""
"","shola-RAISE-B","5","","",""
"shora","shora-RAISE-F","0","1","1",""
"","shora-RAISE-B","7","","",""
"shorpa","shorpa-RAISE-F","0","1","1",""
"","shorpa-RAISE-B","13","","",""
"shota","shota-RAISE-F","0","1","1",""
"","shota-RAISE-B","5","","",""
"shoxa","shoxa-RAISE-F","0","1","1",""
"","shoxa-RAISE-B","1","","",""
